Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Publication Date,Discovery Locale,Discovery Facility,Discovery Telescope,Discovery Instrument
HU Aqr AB c,HU Aqr,c,2,2,0,Eclipse Timing Variations,2011,2011-06,Ground,Yunnan Astronomical Observatory,2.4 m Lijiang Station Telescope,VersArray 1300B CCD Camera
KOI-13 b,KOI-13,b,3,1,0,Transit,2011,2011-07,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
KOI-55 b,KOI-55,b,1,2,0,Orbital Brightness Modulation,2011,2011-12,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
KOI-55 c,KOI-55,c,1,2,0,Orbital Brightness Modulation,2011,2011-12,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-10 b,Kepler-10,b,1,2,0,Transit,2011,2011-03,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-10 c,Kepler-10,c,1,2,0,Transit,2011,2011-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-12 b,Kepler-12,b,1,1,0,Transit,2011,2011-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-14 b,Kepler-14,b,2,1,0,Transit,2011,2011-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-15 b,Kepler-15,b,1,1,0,Transit,2011,2011-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-16 b,Kepler-16,b,2,1,0,Transit,2011,2011-09,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-17 b,Kepler-17,b,1,1,0,Transit,2011,2011-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-18 b,Kepler-18,b,1,3,0,Transit,2011,2011-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-18 c,Kepler-18,c,1,3,0,Transit,2011,2011-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-18 d,Kepler-18,d,1,3,0,Transit,2011,2011-11,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
