Name,Status,Fall,Year,Place,Occurrence,,Type,Mass,MetBull
Seagraves (c) **,Official,,1989,Texas,1, USA,L6/7,26.81 kg,73
Fairview **,Official,,1986,Texas,1, USA,"Iron, IIIAB",28.8 kg,67
New Lynn **,Official,,1986,Texas,1, USA,L6,800 g,74
Griffith **,Official,,1985,Texas,1, USA,"Iron, ungrouped",6 kg,85
Hueco Tanks **,Official,,1985,Texas,1, USA,L6,314 g,64
Hueco Tanks (b),Official,,1985,Texas,1, USA,H5,150 g,85
Monument Draw **,Official,,1985,Texas,1, USA,Acapulcoite,525 g,73
Sunray **,Official,,1985,Texas,1, USA,H4,4.3 kg,67
Wells **,Official,,1985,Texas,1, USA,LL3.3,4.14 kg,81
Patricia,Official,,1983,Texas,1, USA,H5,14.9 kg,
Snyder,Official,,1983,Texas,1, USA,H3,16.9 kg,
Study Butte **,Official,,1983,Texas,1, USA,H3-6,417 g,63
Walcott **,Official,,1983,Texas,1, USA,H5,2 kg,64
Timber Creek **,Official,,1982,Texas,1, USA,L4,7 g,66
Clarendon (b) **,Official,,1981,Texas,1, USA,H5,26.8 g,68
Davy (b) **,Official,,1981,Texas,1, USA,H4,3.77 kg,81
Dawn (a),Official,,1981,Texas,1, USA,H6,7.68 kg,
Dawn (b),Official,,1981,Texas,1, USA,H4/5,258 g,
Dimmitt (b),Official,,1981,Texas,1, USA,OC,2.8 kg,83
Edmonson (b) **,Official,,1981,Texas,1, USA,H4,14.4 kg,61
Friona **,Official,,1981,Texas,1, USA,L5,21.9 kg,61
Happy Draw (a),Official,,1981,Texas,1, USA,L4,224 g,
Happy Draw (b),Official,,1981,Texas,1, USA,H4/5,120 g,
Kaffir (d),Official,,1981,Texas,1, USA,L5,26.76 kg,
Lamesa **,Official,,1981,Texas,1, USA,"Iron, IAB-sLM",16.9 kg,61
Meadow (b) **,Official,,1981,Texas,1, USA,L6,691 g,63
Tule Draw,Official,,1981,Texas,1, USA,H5,2.3 kg,
Tulia (c),Official,,1981,Texas,1, USA,H5/6,4.27 kg,83
Tulia (d),Official,,1981,Texas,1, USA,H6,17.7 kg,83
Bronco (b),Official,,1980,Texas,1, USA,OC,101 g,83
Bronco (c),Official,,1980,Texas,1, USA,OC,53 g,83
Dumas (b),Official,,1980,Texas,1, USA,H6,2.28 kg,
Kaffir (c),Official,,1980,Texas,1, USA,L6,7.95 kg,
Lost Draw,Official,,1980,Texas,1, USA,OC,309 g,
Morton,Official,,1980,Texas,1, USA,H6,6.4 kg,
Pedernales **,Official,,1980,Texas,1, USA,"Iron, IAB complex",691 g,90
Richland Springs **,Official,Y,1980,Texas,1, USA,OC,1900 g,62
Springlake,Official,,1980,Texas,1, USA,L6,17.3 kg,
Clarendon (a),Official,,1979,Texas,1, USA,H5,1964 g,
Plainview (d),Official,,1979,Texas,1, USA,L6,700 g,
Saginaw **,Official,,1979,Texas,1, USA,Iron,44.5 kg,62
Summerfield **,Official,,1979,Texas,1, USA,L5,6.2 kg,60
Allred **,Official,,1978,Texas,1, USA,L4,6.57 kg,56
Claytonville (b),Official,,1978,Texas,1, USA,OC,5.14 kg,83
Finney (c),Official,,1978,Texas,1, USA,OC,492 g,83
Florey **,Official,,1978,Texas,1, USA,H6,110.8 kg,62
Kress (c) **,Official,,1978,Texas,1, USA,L6,5.6 kg,83
Circle Back **,Official,,1977,Texas,1, USA,L6,2.27 kg,62
Frankel City **,Official,,1977,Texas,1, USA,L6,4.7 kg,62
Gaines County Park **,Official,,1977,Texas,1, USA,H5,13.7 kg,72
Nazareth (e) **,Official,,1977,Texas,1, USA,H6,13.1 kg,65
Purmela **,Official,,1977,Texas,1, USA,"Iron, IIF",4.5 kg,90
Seminole (e),Official,,1977,Texas,1, USA,H5,758 g,88
Seth Ward,Official,,1977,Texas,1, USA,H5,3.8 kg,
Fluvanna (b) **,Official,,1976,Texas,1, USA,H6,4.11 kg,62
Needmore **,Official,,1976,Texas,1, USA,OC,1793 g,62
Seagraves (b) **,Official,,1976,Texas,1, USA,H5,4.6 kg,73
Seminole (d),Official,,1976,Texas,1, USA,H6,1710 g,
Seminole Draw (a),Official,,1976,Texas,1, USA,L6,478 g,
Seminole Draw (b),Official,,1976,Texas,1, USA,H5,1193 g,88
Sligo **,Official,,1976,Texas,1, USA,H3.9,78 g,64
Wardswell Draw,Official,,1976,Texas,1, USA,L6,3 kg,
Wimberley **,Official,,1976,Texas,1, USA,"Iron, IIIAB",7.8 kg,56
Denver City **,Official,,1975,Texas,1, USA,"Iron, ungrouped",26.1 kg,55
Foster **,Official,,1975,Texas,1, USA,H4,1992 g,71
Llano River **,Official,,1975,Texas,1, USA,"Iron, IIIAB",4.32 kg,99
Meadow (a) **,Official,,1975,Texas,1, USA,H5,1495 g,62
New Moore (b),Official,,1975,Texas,1, USA,OC,200 g,83
Perryton **,Official,,1975,Texas,1, USA,LL6,2.11 kg,80
Brownfield (c),Official,,1974,Texas,1, USA,OC,1550 g,83
Gomez **,Official,,1974,Texas,1, USA,L6,47 kg,58
Tokio (a),Official,,1974,Texas,1, USA,H5,6.6 kg,
Tokio (b),Official,,1974,Texas,1, USA,OC,823 g,83
Lueders,Official,,1973,Texas,1, USA,"Iron, IAB-MG",35.4 kg,
Wayside **,Official,,1973,Texas,1, USA,H6,23.6 kg,54
Wellman (e),Official,,1973,Texas,1, USA,H4,959 g,
Happy (b),Official,,1972,Texas,1, USA,OC,2.51 kg,83
Lider (a),Official,,1972,Texas,1, USA,L5,2.16 kg,
Lider (b),Official,,1972,Texas,1, USA,H5,1800 g,
Muleshoe,Official,,1972,Texas,1, USA,H4/6,3.6 kg,
New Moore (a),Official,,1972,Texas,1, USA,OC,100.3 g,
West Point **,Official,,1972,Texas,1, USA,L6,3.1 kg,56
Bronco **,Official,,1971,Texas,1, USA,OC,972 g,58
Happy (a),Official,,1971,Texas,1, USA,H3,2.86 kg,
Happy (c),Official,,1971,Texas,1, USA,OC,884 g,83
Happy Canyon **,Official,,1971,Texas,1, USA,EL6/7,16.3 kg,54
South Plains **,Official,,1971,Texas,1, USA,L5,4.76 kg,57
Bledsoe **,Official,,1970,Texas,1, USA,H4,30.5 kg,52
Hart Camp **,Official,,1970,Texas,1, USA,H6,1200 g,87
Hereford,Official,,1970,Texas,1, USA,OC,2.28 kg,
Lakeview **,Official,,1970,Texas,1, USA,H4,1238 g,61
Lazbuddie **,Official,,1970,Texas,1, USA,LL5,8.6 kg,57
Nazareth (c) **,Official,,1970,Texas,1, USA,H5,222 g,65
Ashmore **,Official,,1969,Texas,1, USA,H5,55.4 kg,51
Benjamin,Official,,1969,Texas,1, USA,H4/5,51.8 kg,85
Myersville,Official,,1969,Texas,1, USA,OC,5.4 kg,
Panhandle **,Official,,1969,Texas,1, USA,H5,1360 g,56
Tulia (iron),Official,,1969,Texas,1, USA,Iron,190 g,83
Dalhart **,Official,,1968,Texas,1, USA,H5,4.4 kg,51
Leslie **,Official,,1968,Texas,1, USA,H5,895 g,83
Nazareth (d) **,Official,,1968,Texas,1, USA,H6,1500 g,65
Nazareth (iron) **,Official,,1968,Texas,1, USA,"Iron, IIIAB",11.31 kg,65
Smyer **,Official,,1968,Texas,1, USA,H6,3.27 kg,57
Fluvanna (a) **,Official,,1967,Texas,1, USA,L5,9.5 kg,62
