symbol,date,price
10 Year T-Note,Aug-05,4.02
10 Year T-Note,Sep-05,4.33
10 Year T-Note,Oct-05,4.56
10 Year T-Note,Nov-05,4.5
10 Year T-Note,Dec-05,4.39
10 Year T-Note,Jan-06,4.53
10 Year T-Note,Feb-06,4.55
10 Year T-Note,Mar-06,4.85
10 Year T-Note,Apr-06,5.07
10 Year T-Note,May-06,5.11
10 Year T-Note,Jun-06,5.14
10 Year T-Note,Jul-06,4.99
10 Year T-Note,Aug-06,4.73
10 Year T-Note,Sep-06,4.63
10 Year T-Note,Oct-06,4.61
10 Year T-Note,Nov-06,4.46
10 Year T-Note,Dec-06,4.71
10 Year T-Note,Jan-07,4.83
10 Year T-Note,Feb-07,4.55
10 Year T-Note,Mar-07,4.65
10 Year T-Note,Apr-07,4.63
10 Year T-Note,May-07,4.89
10 Year T-Note,Jun-07,5.03
10 Year T-Note,Jul-07,4.77
10 Year T-Note,Aug-07,4.54
10 Year T-Note,Sep-07,4.58
10 Year T-Note,Oct-07,4.47
10 Year T-Note,Nov-07,3.97
10 Year T-Note,Dec-07,4.03
10 Year T-Note,Jan-08,3.64
10 Year T-Note,Feb-08,3.53
10 Year T-Note,Mar-08,3.43
10 Year T-Note,Apr-08,3.76
10 Year T-Note,May-08,4.05
10 Year T-Note,Jun-08,3.98
10 Year T-Note,Jul-08,3.98
10 Year T-Note,Aug-08,3.81
10 Year T-Note,Sep-08,3.83
10 Year T-Note,Oct-08,3.97
10 Year T-Note,Nov-08,2.96
10 Year T-Note,Dec-08,2.24
10 Year T-Note,Jan-09,2.84
10 Year T-Note,Feb-09,3.04
10 Year T-Note,Mar-09,2.68
10 Year T-Note,Apr-09,3.12
10 Year T-Note,May-09,3.46
10 Year T-Note,Jun-09,3.52
10 Year T-Note,Jul-09,3.5
10 Year T-Note,Aug-09,3.4
10 Year T-Note,Sep-09,3.31
10 Year T-Note,Oct-09,3.39
10 Year T-Note,Nov-09,3.2
10 Year T-Note,Dec-09,3.84
10 Year T-Note,Jan-10,3.61
10 Year T-Note,Feb-10,3.6
10 Year T-Note,Mar-10,3.7
AAPL,Jan-00,25.94
AAPL,Feb-00,28.66
AAPL,Mar-00,33.95
AAPL,Apr-00,31.01
AAPL,May-00,21
AAPL,Jun-00,26.19
AAPL,Jul-00,25.41
AAPL,Aug-00,30.47
AAPL,Sep-00,12.88
AAPL,Oct-00,9.78
AAPL,Nov-00,8.25
AAPL,Dec-00,7.44
AAPL,Jan-01,10.81
AAPL,Feb-01,9.12
AAPL,Mar-01,11.03
AAPL,Apr-01,12.74
AAPL,May-01,9.98
AAPL,Jun-01,11.62
AAPL,Jul-01,9.4
AAPL,Aug-01,9.27
AAPL,Sep-01,7.76
AAPL,Oct-01,8.78
AAPL,Nov-01,10.65
AAPL,Dec-01,10.95
AAPL,Jan-02,12.36
AAPL,Feb-02,10.85
AAPL,Mar-02,11.84
AAPL,Apr-02,12.14
AAPL,May-02,11.65
AAPL,Jun-02,8.86
AAPL,Jul-02,7.63
AAPL,Aug-02,7.38
AAPL,Sep-02,7.25
AAPL,Oct-02,8.03
AAPL,Nov-02,7.75
AAPL,Dec-02,7.16
AAPL,Jan-03,7.18
AAPL,Feb-03,7.51
AAPL,Mar-03,7.07
AAPL,Apr-03,7.11
AAPL,May-03,8.98
AAPL,Jun-03,9.53
AAPL,Jul-03,10.54
AAPL,Aug-03,11.31
AAPL,Sep-03,10.36
AAPL,Oct-03,11.44
AAPL,Nov-03,10.45
AAPL,Dec-03,10.69
